,count,mean,std,min,25%,50%,75%,max
huss,2949030.0,0.00588439404964447,0.004897509701550007,2.947481334558688e-06,0.001789271569577977,0.004470384446904063,0.009440387599170208,0.023574290797114372
huss,2663640.0,0.005855796858668327,0.004760207608342171,6.480552201537648e-06,0.0017950873589143157,0.004697439493611455,0.009302738588303328,0.02396107092499733
huss,2949030.0,0.006179673597216606,0.00474234065040946,1.611138941370882e-05,0.002202901931013912,0.005086166318506002,0.009537539910525084,0.02448699250817299
huss,2853900.0,0.0071456399746239185,0.00489880470559001,7.3836105002556e-05,0.0030897973338142037,0.006003022193908691,0.010577459819614887,0.02929086424410343
huss,2949030.0,0.009007813408970833,0.0051811872981488705,0.00034858883009292185,0.004729335894808173,0.007870112545788288,0.01255246764048934,0.032141320407390594
huss,2853900.0,0.011574497446417809,0.005313769914209843,0.0008132559014484286,0.007342937286011875,0.010671938769519329,0.015354841249063611,0.032005228102207184
huss,2949030.0,0.013632064685225487,0.0051342798396945,0.0016774252289906144,0.00958438590168953,0.012929728720337152,0.017509792931377888,0.03224366158246994
huss,2949030.0,0.013628545217216015,0.005222816951572895,0.0024535730481147766,0.00941560068167746,0.013046321459114552,0.017601768020540476,0.03215918317437172
huss,2853900.0,0.01175996009260416,0.005620297975838184,0.0007719916175119579,0.006890829419717193,0.011133566498756409,0.016050359699875116,0.031499914824962616
huss,2949030.0,0.009410212747752666,0.005692359060049057,0.000125590042443946,0.004543170449323952,0.008041881490498781,0.013789032585918903,0.030497826635837555
huss,2853900.0,0.007501733023673296,0.005484362598508596,1.716571205179207e-05,0.0030872694333083928,0.005787079222500324,0.011583629995584488,0.027201084420084953
huss,2949030.0,0.00636031711474061,0.00514512974768877,6.998456228757277e-06,0.0022034886642359197,0.004682119004428387,0.010101783089339733,0.024339452385902405
